Global Rank	,Company	,Sales ($billion)	,Profits ($billion)	,Assets ($billion)	,Market Value ($billion)
806,AES,18.1,-0.9,41.8,9.3
809,TRW Automotive Holdings,16.4,1,10.9,7.1
810,DaVita,8.2,0.5,16,12.5
811,HCP,1.9,0.8,19.9,22.1
820,Cognizant Technology,7.3,1.1,6.5,23.6
823,CF Industries Holdings,6.1,1.8,10.2,12.8
825,Bed Bath & Beyond,10.2,1,6.4,13.8
828,Whirlpool,18.1,0.4,15.4,9.1
833,Dover,8.1,0.8,10.4,12.9
838,Priceline.com,5.3,1.4,6.6,35.6
844,Textron,12.2,0.6,13,8.4
847,Equity Residential,2.1,0.8,17.2,20.2
861,Reinsurance Group of America,9.8,0.6,40.4,4.5
864,CenterPoint Energy,7.5,0.4,22.9,10
869,Discovery Communications,4.5,0.9,12.9,19
872,AutoZone,8.7,1,6.7,14.1
874,Fluor,27.6,0.5,8.3,10.5
879,VMware,4.6,0.7,10.6,35.9
888,L Brands,10.5,0.8,6.4,13
889,Genworth Financial,10,0.3,113.3,5.2
890,Sherwin-Williams,9.5,0.6,6.2,17.4
896,Oneok,12.6,0.4,15.9,9.2
899,IntercontinentalExchange,1.4,0.6,37.2,11.7
901,Genuine Parts,13,0.6,6.8,11.7
901,Leucadia National,9.2,0.9,9.3,9.9
906,Nordstrom,12.1,0.7,8.1,10.6
908,Vornado Realty,2.8,0.6,22,15.6
909,Ross Stores,9.7,0.8,3.7,12.5
911,WW Grainger,9,0.7,5,15.6
913,Computer Sciences,15.5,0.5,11.3,7.5
916,Mylan,6.8,0.6,11.9,12.1
917,Whole Foods Market,12.2,0.5,5.1,16.1
919,American Tower,2.9,0.6,14.1,29.9
926,Campbell Soup,8.1,0.7,8.6,13.1
929,Marriott International,11.8,0.6,6.3,12.6
944,Best Buy,49.6,-0.2,16.8,7.2
955,Weyerhaeuser,7.1,0.4,12.6,16.6
968,Coca-Cola Enterprises,8.1,0.7,9.5,10.1
970,Ralph Lauren,6.9,0.7,5.5,15.5
971,Hershey,6.6,0.7,4.8,18.2
977,Lear,14.6,1.3,8.2,5.4
982,Eastman Chemical,8.1,0.4,11.6,11.2
984,Huntington Bancshares,3,0.6,56.2,6.3
987,Comerica,2.7,0.5,65.4,6.9
990,Mattel,6.4,0.8,6.5,14.5
993,CA,4.7,0.9,11.6,11.6
994,TD Ameritrade Holding,2.6,0.6,21,11.5
995,Adobe Systems,4.4,0.7,10.2,20.6
997,Avnet,25.2,0.5,10.6,5
998,CH Robinson Worldwide,11.4,0.6,2.8,9.6
1003,NetApp,6.3,0.5,10.9,12.4
1009,Public Storage,1.8,0.9,8.8,26.7
1018,Fidelity National Information,5.8,0.5,13.6,11.3
1019,Sears Holdings,39.9,-1.1,19.3,5.5
1025,Alleghany,4.8,0.7,22.8,6.4
1029,St Jude Medical,5.5,0.8,9.3,11.9
1032,Ventas,2.5,0.4,19,20.6
1037,CarMax,10.6,0.4,9.3,9.5
1039,Coach,4.9,1.1,3.3,14.2
1040,Staples,24.4,-0.2,12.3,9
1042,Assurant,8.5,0.5,28.9,3.5
1047,Lorillard,4.6,1.1,3.4,14.9
1051,NiSource,5.1,0.4,21.8,8.8
1052,Rockwell Automation,6.3,0.7,5.7,12.4
1066,Starwood Hotels,6.3,0.6,8.9,12.3
1068,Hertz Global Holdings,9,0.2,23.3,8.5
1070,Western Union,5.7,1,9.5,8.3
1071,Facebook,5.1,0.1,15.1,63.5
1074,Harley-Davidson,5.6,0.6,9.2,12.5
1083,Arrow Electronics,20.4,0.5,10.8,4.4
1084,New York Community,2.1,0.5,44.1,6.3
1086,Dollar Tree,7.4,0.6,2.8,10.1
1090,Quest Diagnostics,7.4,0.6,9.3,8.9
1091,Liberty Media,2,1.4,8.3,13.4
1095,WR Berkley,5.8,0.5,20.2,5.9
1099,Intuit,4.2,0.8,5.1,19.4
1100,Coventry Health Care,14.1,0.5,8.8,6.3
1102,Hormel Foods,8.3,0.5,4.6,10.4
1107,T Rowe Price,3,0.9,4.2,19.5
1109,Continental Resources,2.6,0.7,9.1,17.2
1113,CMS Energy,6.3,0.4,17.1,7.3
1115,Zimmer Holdings,4.5,0.8,9,12.5
1119,O'Reilly Automotive,6.2,0.6,5.7,11.5
1122,Wisconsin Energy,4.2,0.5,14.3,9.5
1137,JM Smucker,5.9,0.5,9.2,10.4
1138,Dr Pepper Snapple Group,6,0.6,8.9,9
1141,AMR,24.9,-1.9,23.5,1.3
1143,Applied Materials,8.1,0,11.7,16
1144,Health Care REIT,1.8,0.3,19.5,17.1
1147,MGM Resorts,9.2,-1.8,26.3,6.4
1160,General Growth Properties,2.5,-0.5,27.3,18.7
1161,SanDisk,5.1,0.4,10.3,13.3
1164,Prologis,2,0,27.3,18.7
1169,Boston Scientific,7.2,-4.1,17.2,10
1170,American Financial Group,5.1,0.5,39.2,4.2
1178,US Airways Group,13.8,0.6,9.4,2.6
1178,Celanese,6.4,0.6,9.2,7.5
1178,Regeneron Pharmaceuticals,1.4,0.8,1.7,16.7
1189,Intuitive Surgical,2.2,0.7,4.1,18.4
1192,Avalonbay Communities,1,0.4,11.2,16.6
1195,Ameren,6.8,-1,21.8,8.3
1196,Clorox,5.6,0.6,4.5,11
1205,FMC Technologies,6.2,0.4,5.9,12.5
1213,MBIA,2.4,1.2,21.7,2.3
1214,Ingram Micro,37.8,0.3,11.5,3
1215,BorgWarner,7.2,0.5,6.4,9.2
1221,Interpublic Group,7,0.4,13.5,5.5
1223,Molson Coors Brewing,3.9,0.4,16.2,8.8
1229,Charter Communications,7.5,-0.3,15.6,9.1
1231,Micron Technology,8,-1.1,13.9,9.6
1237,Fiserv,4.5,0.6,8.5,11.4
1238,Fidelity National Financial,7.2,0.6,9.9,5.5
1241,Synovus Financial,1.3,0.8,26.8,2.2
1247,Wynn Resorts,5.2,0.5,7.3,12.1
1252,Lennar,4.4,0.7,10.4,7.7
1263,Jacobs Engineering,11,0.4,6.9,7
1264,Boston Properties,1.9,0.3,15.5,16
1265,CIT Group,4,-0.6,44,9
1267,DR Horton,4.7,1,7.3,7.8
1268,Family Dollar Stores,9.6,0.4,3.7,6.9
1269,Analog Devices,2.7,0.6,5.7,13.9
1271,Consol Energy,5.4,0.4,12.7,7.7
1273,Cincinnati Financial,4.1,0.4,16.5,7.7
1275,Goodyear,21,0.2,17,3.4
1282,LabCorp,5.7,0.6,6.8,8.5
1291,Actavis,5.9,0.1,14.1,11.7
1299,Community Health Sys,14.5,0.3,16.6,4.1
1301,Zoetis,4.3,0.4,6.3,16.7
1303,Crown Holdings,8.5,0.6,7.5,5.8
1305,PVH,6,0.4,7.8,9.6
1311,Crown Castle International,2.4,0.2,16.1,20.5
1314,AGCO,10,0.5,7.7,5.3
1322,Moody's,2.7,0.7,4,11.5
1325,Joy Global,5.7,0.8,6.2,6.6
1332,Torchmark,3.6,0.5,18.8,5.6
1335,Amphenol,4.3,0.6,5.2,11.6
1336,First Republic Bank,1.5,0.4,34.4,5
1339,Ball,8.7,0.4,7.5,6.9
1340,Zions Bancorp,2.5,0.3,55.5,4.7
1343,US Steel,19.3,-0.1,15.2,2.9
1355,Host Hotels & Resorts,5.3,0.1,13,12.9
1357,Calpine,5.5,0.2,16.5,9.2
1358,Henry Schein,8.9,0.3,5.3,7.9
1359,Darden Restaurants,8.3,0.4,7,6.4
1361,Paychex,2.3,0.6,7.5,12.4
1364,Supervalu,34.8,-0.5,11.9,0.9
1365,Universal Health,13.9,0.3,8.2,6.1
1367,Rockwell Collins,4.7,0.6,5.3,8.7
1370,Raymond James Financial,4.2,0.3,22.3,6.7
1390,AutoNation,15.7,0.3,6.6,5.4
1392,Jabil Circuit,17.6,0.4,8.2,3.9
1393,Caesars Entertainment,8.6,-1.5,28,2.1
1395,Scana,4.2,0.4,14.6,6.6
1397,Catamaran,9.9,0.1,7.4,10.7
1398,Altera,1.8,0.6,4.7,11.2
1403,SAIC,11.2,0.5,5.9,4.3
1406,Peabody Energy,8.1,-0.6,15.8,5.9
1408,Fastenal,3.1,0.4,1.8,15.1
1415,ADT,3.2,0.4,9.5,11.5
1417,Roper Industries,3,0.5,7.1,12.3
1420,Rock-Tenn,9.2,0.3,10.5,6.5
1420,KLA-Tencor,3.1,0.7,5.1,8.7
1423,Cerner,2.7,0.4,3.7,16
1434,Alliance Data Systems,3.6,0.4,12,7.9
1436,Denbury Resources,2.5,0.5,11.1,7
1438,Pioneer Natural Resources,3.2,0.2,13.1,17.3
1440,NYSE Euronext,3.7,0.3,12.6,9.2
1454,Life Technologies,3.8,0.4,8.6,10.8
1455,Avon Products,10.7,0,7.4,8.7
1455,Wyndham Worldwide,4.5,0.4,9.5,8.6
1466,Ashland,8.1,0.1,12.4,6.4
1470,American Water Works,2.9,0.4,14.7,7.1
1472,Petsmart,6.8,0.4,2.5,6.7
1472,Brown-Forman,2.4,0.4,3.5,14.7
1484,Protective Life,3.6,0.3,57.4,2.7
1486,Huntsman,11.2,0.3,8.9,4.6
1489,Concho Resources,1.8,0.4,8.6,10.1
1492,Newell Rubbermaid,5.9,0.4,6.2,7.3
1493,Reliance Steel,8.4,0.4,5.9,5.3
1499,Perrigo,3.3,0.4,4.3,10.9
1500,Nvidia,4.3,0.6,6.4,7.8
1500,Xilinx,2.2,0.5,4.6,10.1
1510,Ametek,3.3,0.5,5.2,10.4
1510,CBRE Group,6.5,0.3,7.8,8.2
1515,Flowserve,4.8,0.4,4.8,8.1
1537,Citrix Systems,2.6,0.4,4.8,8.1
1541,Avis Budget Group,7.4,0.3,15.2,3
1545,Sigma-Aldrich,2.6,0.5,3.8,9.5
1548,CR Bard,3,0.5,4.2,8.3
1549,Experditors International,6,0.3,3,7.9
1559,Beam,2.5,0.4,8.6,10.1
1561,Kansas City Southern,2.2,0.4,6.4,11.9
1563,Pall,2.7,0.6,3.5,7.6
1565,Pinnacle West,3.3,0.4,13.4,6.3
1566,BOK Financial,1.5,0.4,28.1,4.2
1570,World Fuel Services,38.9,0.2,4.1,2.9
1572,Scripps Network Interactive,2.3,0.4,4.1,9.6
1578,Ingredion,6.5,0.4,5.6,5.3
1584,Teradata,2.7,0.4,3.1,9.6
1588,Plains Exploration,2.6,0.3,17.3,6.1
1594,CVR Energy,8.6,0.4,3.6,4.8
1599,Helmerich & Payne,3.3,0.6,5.9,7
1600,McCormick & Co,4,0.4,4.2,9.4
1605,Hatteras Financial,0.5,0.3,26.4,2.7
1615,Advance Auto Parts,6.2,0.4,4.6,5.9
1616,Western Refining,9.5,0.4,2.5,3.1
1630,Waters,1.8,0.5,3.2,8.1
1633,URS,11,0.3,8.8,3.5
1646,Rite Aid,26.1,-0.2,7.2,1.7
1651,Constellation Brands,2.7,0.4,8.3,8.4
1651,CYS Investments,0.3,0.4,21.1,2.1
1654,Salesforce.com,3,-0.3,5.5,25.8
1656,Tech Data,25.4,0.2,6.8,1.9
1659,Tiffany & Co,3.8,0.4,4.6,8.8
1662,Manpower,20.7,0.2,7,4.5
1665,JB Hunt Transport,5.1,0.3,2.5,8.7
1667,Airgas,4.9,0.3,5.5,7.9
1669,Timken,5,0.5,4.2,5.5
1673,Pepco Holdings,5.1,0.3,15.8,4.8
1677,Maxim Integrated Products,2.4,0.4,3.7,9.6
1679,Alexion Pharmaceuticals,1.1,0.3,2.6,18.2
1685,Macerich,0.9,0.3,9.3,8.6
1685,Varian Medical Systems,2.9,0.4,2.9,8
1692,Verisk Analytics,1.5,0.3,2.4,11
1697,FMC,3.7,0.4,4.4,8.3
1700,Linear Technology,1.3,0.4,1.9,8.8
1702,Windstream,6.2,0.2,14,5.2
1717,JC Penney,13,-1,9.8,3.4
1718,PBF Energy,20.1,0,4.3,3.8
1723,E-Trade Financial,2.2,-0.1,47.4,3.1
1731,Juniper Networks,4.4,0.2,9.8,10.4
1732,Masco,7.7,-0.1,6.9,7.1
1736,LinkedIn,1,0,1.4,19.1
1739,Foot Locker,6.2,0.4,3.4,4.9
1740,CNO Financial Group,4.3,0.2,34.1,2.6
1744,Tronox,1.8,1.1,5.5,2.4
1749,SL Green Realty,1.4,0.2,14.4,7.8
1751,Invesco Mortgage Capital,0.6,0.3,18.9,2.9
1754,OfficeMax,6.9,0.4,3.8,1
1759,OGE Energy,3.7,0.4,9.9,6.7
1761,Green Mountain Coffee,4,0.4,3.5,8.1
1766,People's United Financial,1.3,0.2,30.3,40.6
1767,Popular,2.2,0.2,36.5,2.9
1768,Gannett,5.4,0.4,6.4,5
1768,AOL,2.2,1,2.8,2.6
1771,Quanta Services,5.9,0.3,5.1,6.3
1771,CC Media Holdings,6.2,-0.4,16.3,0.2
1796,Church & Dwight,2.9,0.3,4.1,8.5
1797,Harbinger Group,4.5,0.1,26.9,1.2
1806,First Niagara Financial,1.5,0.2,36.8,3
1808,Level 3 Communications,6.4,-0.4,13.3,4.6
1815,Mohawk Industries,5.8,0.3,6.3,7.9
1823,American Equity Investment,1.6,0.1,35.1,0.9
1831,Kimco Realty,0.9,0.3,9.7,9
1838,Navistar International,12.5,-3,8.5,2.9
1847,Alpha Natural Resources,7,-2.4,13.1,1.9
1847,Toll Brothers,2,0.5,6.1,5.8
1852,East West Bancorp,1.1,0.3,22.5,3.5
1857,Interactive Brokers Group,1.2,0,33.2,0.7
1858,Energizer Holdings,4.6,0.4,6.7,5.8
1869,Cabot Oil & Gas,1.2,0.1,4.6,14.1
1870,Monster Beverage,2.1,0.3,1,8
1885,Tenet Healthcare,9.1,0.1,9,4.6
1887,Sealed Air,7.6,-1.1,10,4.7
1890,Southwestern Energy,2.7,-0.7,6.7,13.5
1890,H&R Block,2.7,0.4,3.9,7.5
1892,Edwards Lifescience,1.9,0.3,2.2,9.4
1896,Hillshire Brands,4.1,0.7,2.5,4.2
1897,Smithfield Foods,13.1,0.2,7.6,3.7
1899,Penske Automotive,13.2,0.2,5.4,3
1903,Range Resources,1.5,0,6.7,13.4
1908,Chipotle Mexican Grill,2.7,0.3,1.7,10
1911,Symetra Financial,2.1,0.2,29.5,1.7
1911,CareFusion,3.6,0.3,8.4,7.6
1914,TransDigm Group,1.8,0.3,5.6,7.9
1917,Commerce Bancshares,1.1,0.3,22.2,3.6
1923,Frontier Communications,5,0.1,17.7,4.1
1924,City National,1.2,0.2,28.6,3.2
1927,Dick's Sporting Goods,5.8,0.3,2.9,5.8
1932,Alliant Energy,3.1,0.3,10.8,5.4
1940,Westlake Chemical,3.6,0.4,3.4,6.5
1948,Whiting Petroleum,2.2,0.4,7.3,6.1
1948,Expedia,4,0.3,7.1,9
1953,MeadWestvaco,5.5,0.2,8.9,6.6
1957,Ambac Financial Group,0.7,-0.3,27,0
1962,Erie Indemnity,5.4,0.2,15.4,4
1965,Nelnet,1,0.2,26.6,1.6
1969,EQT,1.6,0.2,8.8,10
1969,Dillard's,6.8,0.3,4,3.8
1981,Cliffs Natural Resources,5.9,-0.9,13.6,3.5
1983,First Horizon Natural,1.5,0,25.5,2.7
1984,Cimarex Energy,1.6,0.4,6.3,6.8
1990,Alexander's,0.2,0.7,1.5,1.7
1991,Two Harbors Investment,0.5,0.3,16.8,4.1
1993,Health Net,11.3,0.1,3.9,2.3
1995,Tractor Supply,4.7,0.3,1.7,7.1
1999,Old Republic International,5,-0.1,16.2,3.3
